id,name,product_type,description,monthly_sales
311,External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 311.,439
312,Multifunction Printer Pro,Electronics,Printer with scanner and copier. Pro model – batch 312.,391
313,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 313.,497
314,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 314.,417
315,Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 315.,421
316,HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 316.,324
317,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 317.,180
318,USB Mouse Plus,Electronics,Wired USB mouse with high precision. Plus model – batch 318.,302
319,USB Mouse Pro,Electronics,Wired USB mouse with high precision. Pro model – batch 319.,408
320,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 320.,149
321,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 321.,221
322,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 322.,188
323,Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 323.,257
324,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 324.,434
325,Algorithms Book Wireless,Book,Introduction to algorithms and programming logic. Wireless model – batch 325.,448
326,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 326.,428
327,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 327.,416
328,ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 328.,407
329,Blue Pen Compact,Stationery,Blue ballpoint pen. Compact model – batch 329.,169
330,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 330.,490
331,Django Book Wireless,Book,Web development with Django. Wireless model – batch 331.,209
332,Django Book Standard,Book,Web development with Django. Standard model – batch 332.,250
333,24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 333.,360
334,Python Book Wireless,Book,Learn Python from beginner to advanced. Wireless model – batch 334.,279
335,Multifunction Printer Standard,Electronics,Printer with scanner and copier. Standard model – batch 335.,34
336,External Hard Drive 1TB Plus,Electronics,Portable 1TB external storage. Plus model – batch 336.,404
337,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 337.,128
338,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 338.,478
339,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 339.,345
340,ATX Power Supply 600W Pro,Electronics,600W certified power supply. Pro model – batch 340.,308
341,Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 341.,214
342,Full HD Webcam USB-C,Electronics,1080p webcam for video conferencing. USB-C model – batch 342.,336
343,Bluetooth Headphones Advanced,Electronics,Wireless headphones with noise cancellation. Advanced model – batch 343.,472
344,Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 344.,302
345,HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 345.,373
346,Python Book Compact,Book,Learn Python from beginner to advanced. Compact model – batch 346.,472
347,USB Flash Drive 64GB Wireless,Electronics,USB 3.0 flash drive with 64GB capacity. Wireless model – batch 347.,272
348,Gaming Mousepad Premium,Accessories,Large mousepad with non-slip base. Premium model – batch 348.,474
349,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 349.,123
350,ATX Power Supply 600W Compact,Electronics,600W certified power supply. Compact model – batch 350.,204
351,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 351.,229
352,Python Book Pro,Book,Learn Python from beginner to advanced. Pro model – batch 352.,335
353,Multifunction Printer Compact,Electronics,Printer with scanner and copier. Compact model – batch 353.,63
354,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 354.,282
355,External Hard Drive 1TB USB-C,Electronics,Portable 1TB external storage. USB-C model – batch 355.,411
356,HDMI Cable Plus,Accessories,High-speed HDMI 2.0 cable. Plus model – batch 356.,36
357,Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 357.,356
358,ATX Power Supply 600W Plus,Electronics,600W certified power supply. Plus model – batch 358.,472
359,External Hard Drive 1TB Wireless,Electronics,Portable 1TB external storage. Wireless model – batch 359.,449
360,Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 360.,246
361,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 361.,259
362,Algorithms Book Compact,Book,Introduction to algorithms and programming logic. Compact model – batch 362.,327
363,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 363.,382
364,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 364.,419
365,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 365.,100
366,HDMI Cable Wireless,Accessories,High-speed HDMI 2.0 cable. Wireless model – batch 366.,193
367,Laptop Stand Pro,Accessories,Adjustable ergonomic laptop stand. Pro model – batch 367.,68
368,Blue Pen Advanced,Stationery,Blue ballpoint pen. Advanced model – batch 368.,219
369,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 369.,11
370,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 370.,36
371,USB Flash Drive 64GB Wireless,Electronics,USB 3.0 flash drive with 64GB capacity. Wireless model – batch 371.,316
372,Mechanical Keyboard Pro,Electronics,Mechanical keyboard with blue switches. Pro model – batch 372.,301
373,Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 373.,110
374,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 374.,143
375,Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 375.,94
376,Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 376.,134
377,External Hard Drive 1TB Compact,Electronics,Portable 1TB external storage. Compact model – batch 377.,197
378,Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 378.,143
379,Laptop Stand Compact,Accessories,Adjustable ergonomic laptop stand. Compact model – batch 379.,299
380,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 380.,311
381,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 381.,299
382,24 Inch Monitor Plus,Electronics,Full HD monitor for work and gaming. Plus model – batch 382.,428
383,Laptop Backpack Advanced,Accessories,Durable backpack for up to 15-inch laptops. Advanced model – batch 383.,363
384,Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 384.,24
385,Laptop i5 USB-C,Electronics,Laptop with Intel i5 processor and SSD. USB-C model – batch 385.,382
386,ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 386.,131
387,Laptop i5 Plus,Electronics,Laptop with Intel i5 processor and SSD. Plus model – batch 387.,400
388,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 388.,168
389,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 389.,193
390,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 390.,462
391,USB Mouse USB-C,Electronics,Wired USB mouse with high precision. USB-C model – batch 391.,180
392,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 392.,99
393,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 393.,444
394,Mechanical Keyboard Compact,Electronics,Mechanical keyboard with blue switches. Compact model – batch 394.,195
395,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 395.,476
396,External Hard Drive 1TB Pro,Electronics,Portable 1TB external storage. Pro model – batch 396.,414
397,Python Book Standard,Book,Learn Python from beginner to advanced. Standard model – batch 397.,363
398,Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 398.,148
399,Laptop Stand Premium,Accessories,Adjustable ergonomic laptop stand. Premium model – batch 399.,181
400,External Hard Drive 1TB Standard,Electronics,Portable 1TB external storage. Standard model – batch 400.,210
401,HDMI Cable Compact,Accessories,High-speed HDMI 2.0 cable. Compact model – batch 401.,390
402,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 402.,14
403,Gaming Mousepad USB-C,Accessories,Large mousepad with non-slip base. USB-C model – batch 403.,8
404,Blue Pen Standard,Stationery,Blue ballpoint pen. Standard model – batch 404.,475
405,Laptop i5 Compact,Electronics,Laptop with Intel i5 processor and SSD. Compact model – batch 405.,182
406,24 Inch Monitor Premium,Electronics,Full HD monitor for work and gaming. Premium model – batch 406.,363
407,Bluetooth Headphones Premium,Electronics,Wireless headphones with noise cancellation. Premium model – batch 407.,412
408,Gaming Mousepad Wireless,Accessories,Large mousepad with non-slip base. Wireless model – batch 408.,345
409,USB Flash Drive 64GB USB-C,Electronics,USB 3.0 flash drive with 64GB capacity. USB-C model – batch 409.,210
410,Gaming Mousepad Compact,Accessories,Large mousepad with non-slip base. Compact model – batch 410.,314
411,24 Inch Monitor USB-C,Electronics,Full HD monitor for work and gaming. USB-C model – batch 411.,21
412,Bluetooth Headphones Advanced,Electronics,Wireless headphones with noise cancellation. Advanced model – batch 412.,190
413,Mechanical Keyboard Premium,Electronics,Mechanical keyboard with blue switches. Premium model – batch 413.,478
414,University Notebook Wireless,Stationery,Notebook with 200 pages. Wireless model – batch 414.,5
415,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 415.,94
416,Gaming Mousepad Plus,Accessories,Large mousepad with non-slip base. Plus model – batch 416.,346
417,24 Inch Monitor Pro,Electronics,Full HD monitor for work and gaming. Pro model – batch 417.,353
418,Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 418.,15
419,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 419.,434
420,Multifunction Printer USB-C,Electronics,Printer with scanner and copier. USB-C model – batch 420.,250
421,HDMI Cable Pro,Accessories,High-speed HDMI 2.0 cable. Pro model – batch 421.,150
422,24 Inch Monitor Compact,Electronics,Full HD monitor for work and gaming. Compact model – batch 422.,171
423,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 423.,193
424,Multifunction Printer Compact,Electronics,Printer with scanner and copier. Compact model – batch 424.,64
425,Laptop Backpack Plus,Accessories,Durable backpack for up to 15-inch laptops. Plus model – batch 425.,268
426,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 426.,54
427,Laptop Stand Plus,Accessories,Adjustable ergonomic laptop stand. Plus model – batch 427.,414
428,University Notebook Standard,Stationery,Notebook with 200 pages. Standard model – batch 428.,45
429,Clean Code Book Plus,Book,Best practices for clean and maintainable code. Plus model – batch 429.,474
430,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 430.,399
431,USB Mouse Advanced,Electronics,Wired USB mouse with high precision. Advanced model – batch 431.,265
432,HDMI Cable USB-C,Accessories,High-speed HDMI 2.0 cable. USB-C model – batch 432.,296
